Date,Samsung,LG
2021-01-04,86313,148397
2021-01-05,84560,141485
2021-01-06,81514,154382
2021-01-07,85181,150024
2021-01-08,81702,151750
2021-01-09,82049,159864
2021-01-10,88377,151791
2021-01-11,82681,144753
2021-01-12,81571,159103
2021-01-13,83259,150721
2021-01-14,86584,143801
2021-01-15,86095,148608
2021-01-16,81490,153638
2021-01-17,87848,158251
2021-01-18,80544,154010
2021-01-19,82565,151758
2021-01-20,83364,140044
2021-01-21,83150,143481
2021-01-22,85110,142402
2021-01-23,80072,155223
2021-01-24,88674,159464
2021-01-25,86388,149978
2021-01-26,86268,156934
2021-01-27,84150,148351
2021-01-28,89134,149835
2021-01-29,80142,143322
2021-01-30,89054,144641
2021-01-31,86677,156521
2021-02-01,89797,140346
2021-02-02,85320,149333
2021-02-03,86793,155593
2021-02-04,85850,146669
2021-02-05,80462,150251
2021-02-06,81705,140080
2021-02-07,89086,147738
2021-02-08,84899,140685
2021-02-09,86728,142232
2021-02-10,82800,145756
2021-02-11,84516,143971
2021-02-12,82799,146144
2021-02-13,85988,149606
2021-02-14,80085,145553
2021-02-15,82474,141880
2021-02-16,83238,144831
2021-02-17,80184,156066
2021-02-18,89276,149735
2021-02-19,87698,156933
2021-02-20,82206,151272
2021-02-21,83672,154106
2021-02-22,81422,148351
2021-02-23,85030,154306
2021-02-24,82214,154927
2021-02-25,85829,141593
2021-02-26,83484,142395
2021-02-27,82174,151083
2021-02-28,82661,149487
2021-03-01,87869,152721
2021-03-02,85845,153578
2021-03-03,89117,157703
2021-03-04,84823,156948
2021-03-05,83647,157159
2021-03-06,84244,154573
2021-03-07,88880,141215
2021-03-08,88346,148103
2021-03-09,86445,140491
2021-03-10,89922,157769
2021-03-11,86550,158068
2021-03-12,87338,158885
2021-03-13,87831,159540
2021-03-14,84170,155504
2021-03-15,85834,142648
2021-03-16,84207,146941
2021-03-17,82386,151331
2021-03-18,88562,159716
2021-03-19,82763,147638
2021-03-20,80457,143579
2021-03-21,89326,152327
2021-03-22,86311,141378
2021-03-23,80304,148820
2021-03-24,89829,159617
2021-03-25,83161,142158
2021-03-26,81603,147979
2021-03-27,89818,150199
2021-03-28,84028,149315
2021-03-29,81915,140370
2021-03-30,81092,150593
2021-03-31,85846,143350
2021-04-01,82023,159410
2021-04-02,81684,155253
2021-04-03,87686,156200
2021-04-04,86641,145512
2021-04-05,87609,149350
2021-04-06,86041,147749
2021-04-07,80363,144765
2021-04-08,88364,149428
2021-04-09,89255,158232
2021-04-10,87417,153446
2021-04-11,84646,147701
2021-04-12,81497,157526
2021-04-13,89821,141384
